Angehörige-ID,Nachname,Vorname,Straße + Hnr,PLZ,Wohnort,zugehöriger Patient,Patienten-Nr,Telefon,E-Mail,Beziehung zum Patienten,letzter Kontakt,Art des Kontaktes,Notizen,Rolle
A0122,Conradi,Abbas,Pechelstr. 86,75503,Hohenstein-Ernstthal,Schönland Hildegund,P0106,09975 71130,norman48@example.net,Enkel,2025-02-21,E-Mail,Aus dort den schön.,Angehöriger
A0123,Lange,Irmtraud,Jaroslav-Schmidt-Platz 53,16373,Bützow,Hiller Isa,P0998,0091779827,radischjelena@example.org,Nachbar,2025-03-26,Besuch,Uns las letzte werden durch Nacht.,Angehöriger
A0124,Eckbauer,Janette,Reimer-Sontag-Weg 31,86693,Lichtenfels,Schleich Wendelin,P0886,04722698485,hans-willihaering@example.net,Kind,2025-04-24,Besuch,Werden davon schwer ziehen dürfen mein.,Angehöriger
A0125,Junitz,Fadime,Kirstin-Kitzmann-Weg 53,99684,Anklam,Seip Robin,P0026,01062 00342,hedda42@example.org,Kind,2025-04-20,Brief,Erklären mehr halten Kind nächste.,Angehöriger
A0126,Warmer,Gusti,Josefa-Seifert-Weg 53,38406,Lübz,Heinrich Milka,P0822,(05800) 43973,katherina98@example.net,Geschwister,2025-04-04,Besuch,Garten durch Schiff einige dunkel.,Angehöriger
A0127,Dussen van,Anita,Benthinstraße 35,84229,Altentreptow,Mühle Reinhardt,P0164,07202590947,claus58@example.org,Geschwister,2025-06-08,Telefon,Bein lesen ihr Maus Blume Fahrrad essen.,Angehöriger
A0128,Kabus,Mehdi,Hornigplatz 49,80157,Sondershausen,Schaaf Gunar,P0894,(09305) 616484,plathmarie@example.com,Ehepartner,2025-03-19,Videocall,Katze Auge weg Eis lieb Wissen draußen.,Angehöriger
A0129,Wirth,Valerie,Erica-Bolzmann-Platz 29,61386,Wolfratshausen,Bauer Hans-Heinrich,P0205,(02075) 01102,brita19@example.org,Freund,2025-05-30,Brief,Hilfe ohne jetzt also schaffen Mann.,Angehöriger
A0130,Tschentscher,Florence,Kathleen-Weinhage-Weg 40,15814,Schlüchtern,Zimmer Kathi,P0841,+49(0)4766 072832,sritter@example.net,Kind,2025-01-10,Besuch,Wohnung alle vor den auf müde.,Angehöriger
A0131,Renner,Richard,Leo-Häring-Allee 4,36822,Gadebusch,Jacob Sepp,P0676,(04312) 908781,grit14@example.org,Kind,2025-01-20,Videocall,Laut gibt das reiten Brief ob Weg Geschenk.,Angehöriger
A0132,Jüttner,Tomislav,Täschestr. 43,99556,Altentreptow,Linke Freya,P0286,03364525777,leila47@example.net,Ehepartner,2025-01-03,Brief,Bild fährt tun warum Ende Seite offen sehr.,Angehöriger
A0133,Bähr,Rosalie,Margaret-Salz-Weg 45,93084,Staffelstein,Klotz Veit,P0657,+49 (0) 5639 427881,gknappe@example.org,Nachbar,2025-04-15,Videocall,Schiff sofort den dir Mädchen Mutter von der.,Angehöriger
A0134,Nette,Janine,Benthinplatz 87,31453,Strausberg,Staude Rosel,P0864,+49(0) 856770051,martha49@example.net,Nachbar,2025-03-29,Brief,Reich hat reich um liegen her.,Angehöriger
A0135,Hauffer,Serpil,Kitzmannallee 4,77908,Meiningen,Hesse Jolanthe,P0119,+49 (0) 3184 322259,speerhermann-josef@example.com,Enkel,2025-05-12,Besuch,Las lange erzählen doch.,Angehöriger
A0136,Langern,Marliese,Ingo-Beyer-Platz 75,28092,Eggenfelden,Eimer Helen,P0986,+49(0)2869 90413,eauch-schlauchin@example.com,Enkel,2025-01-15,Telefon,Neun Stelle tragen ein richtig Freude.,Angehöriger
A0137,Striebitz,Isabella,Metzstr. 14,36621,Flöha,Binner Gitta,P0611,08629 12799,ziegertannie@example.net,Freund,2025-05-01,Brief,Las dauern nicht tun.,Angehöriger
A0138,Wohlgemut,Rosita,Preißstraße 94,08637,Jena,Hoffmann Attila,P0806,(09162) 473149,mhertrampf@example.org,Enkel,2025-04-23,Videocall,Nacht damit acht.,Angehöriger
A0139,Haering,Geraldine,Langering 78,26944,Rehau,Hande Jens-Peter,P0524,09463688725,therrmann@example.net,Ehepartner,2025-02-16,Videocall,Setzen verstecken richtig sind kaufen schon.,Angehöriger
A0140,Ditschlerin,Gotthard,Andrea-Kühnert-Ring 74,26012,Saulgau,Wilms Marga,P0195,0114351906,pschmiedecke@example.net,Enkel,2025-02-05,Telefon,Bauer spielen dunkel legen alle verkaufen wie ließ.,Angehöriger
A0141,Beer,Hans-Ludwig,Elisabet-Geisler-Allee 91,53021,Lippstadt,Bolander Herta,P0447,06693801184,nick43@example.net,Ehepartner,2025-06-09,E-Mail,Wie müssen frei hören Bruder beißen Garten.,Angehöriger
A0142,Drub,Trude,Rennerallee 69,76973,Miltenberg,Kabus Heinrich,P0704,(07907) 14163,luitgardjopich@example.com,Geschwister,2025-06-07,Besuch,Mann schreiben fressen für holen sind glücklich.,Angehöriger
A0143,Gieß,Birthe,Johannring 47,94237,Gera,Wohlgemut Andrey,P0442,+49(0) 433339521,budiggoenuel@example.net,Ehepartner,2025-03-15,Brief,Sonne mehr auf.,Angehöriger
A0144,Köhler,Wolfram,Nohlmansstr. 80,72846,Wolmirstedt,Geisler Bärbel,P0322,(02086) 780856,utzdussen-van@example.net,Geschwister,2025-03-19,Telefon,Schlecht alle erzählen nah gestern nun.,Angehöriger
A0145,Gotthard,Joerg,Hellwigring 93,95527,Freital,Metz Wally,P0922,0556472929,margarethaditschlerin@example.net,Enkel,2025-02-02,E-Mail,Minutenmir verstehen Ende Stunde sich.,Angehöriger
A0146,Anders,Wilfried,Siegward-Ortmann-Platz 40,74489,Lichtenfels,Pergande Willy,P0683,+49(0)2034 717545,bruni84@example.com,Freund,2024-12-18,Brief,Haare schenken nie nach.,Angehöriger
A0147,Seip,Friedlinde,Lidija-Hölzenbecher-Ring 52,87716,Monschau,Hertrampf Hertha,P0714,(02256) 99611,mohammadheidrich@example.com,Enkel,2025-02-10,E-Mail,Schwer nichts hinter warten spät.,Angehöriger
A0148,Klotz,Tatjana,Lehmannplatz 17,02341,Eggenfelden,Koch Dietmar,P0197,0111780068,doehnjonas@example.net,Freund,2025-01-12,Videocall,Gelb Finger fünf offen dauern uns.,Angehöriger
A0149,Beer,Andy,Junkallee 87,78487,Vechta,Rohleder Luzie,P0767,02997 96884,wolfhard83@example.org,Kind,2025-03-05,E-Mail,Ihm die alle Luft Sohn dein.,Angehöriger
A0150,Möchlichen,Kemal,Heiderose-Noack-Straße 73,06493,Pößneck,Höfig Elisabeth,P0309,03686632663,dan63@example.net,Freund,2025-05-03,E-Mail,Tante schlafen fünf sie Teller ihn verlieren ein.,Angehöriger
A0151,Dörschner,Klaus,Schönlandstraße 1,97350,Badibling,Klotz Zita,P0312,00214 42703,flantzalexandre@example.com,Enkel,2025-01-23,Besuch,Geld Stunde über Kopf Stein gibt.,Angehöriger
A0152,Weitzel,Meta,Bertram-Hethur-Straße 56,87234,Anklam,Wiek Svetlana,P0805,+49(0)3673 037183,rkrebs@example.com,Nachbar,2025-06-04,E-Mail,Oft auf Winter los.,Angehöriger
A0153,Nerger,Janus,Gumprichring 84,31365,Eggenfelden,Etzold Karl-Heinz,P0330,+49(0)9163 00979,pedrowinkler@example.org,Freund,2025-01-29,Videocall,Blume nämlich wie über oder Baum Platz.,Angehöriger
A0154,Reising,Hilma,Fedor-Neuschäfer-Platz 57,85730,Kaiserslautern,Kostolzin Manuela,P0692,+49 (0) 4077 848739,beatakeudel@example.com,Kind,2025-04-28,E-Mail,Vogel neu viel doch Mama.,Angehöriger
A0155,Hübel,Tomas,Riehlring 61,08620,Schweinfurt,Eckbauer Clarissa,P0813,+49(0) 518638782,mariusz65@example.org,Geschwister,2025-01-01,Besuch,Auge Winter dürfen antworten.,Angehöriger
A0156,Neureuther,Ekkehard,Eckart-Beckmann-Weg 85,78994,Kehl,Misicher Theres,P0087,+49(0) 910371705,ykoch@example.net,Enkel,2024-12-25,E-Mail,Freude auch Beispiel gehen wirklich Wort braun sehen.,Angehöriger
A0157,Krause,Annie,Hans-Jörg-Putz-Allee 85,92886,Soest,Kusch Loni,P0649,(05761) 228685,antoinetteschinke@example.com,Nachbar,2025-06-03,Brief,Mich über unter ihn Onkel trinken.,Angehöriger
A0158,Schlosser,Marko,Carina-Ritter-Platz 12,84577,Aachen,Heinz Alessandro,P0839,+49(0)4908240433,anastasios48@example.net,Kind,2025-03-26,Brief,Die Arzt halbe dem Haus Name Fenster.,Angehöriger
A0159,Jacob,Mareile,Cecilia-Kuhl-Weg 29,15727,Sangerhausen,Schleich Andreas,P0826,(04096) 10556,xdussen-van@example.org,Kind,2025-04-30,Besuch,Wichtig Onkel Oma Ball Luft Geschenk Mutter gesund.,Angehöriger
A0160,Hartung,Hilda,Bernard-Steinberg-Allee 4,79981,Mallersdorf,Ehlert Bianka,P0048,+49(0)6225 17908,fhesse@example.com,Kind,2025-03-16,Videocall,Sommer langsam endlich hinter.,Angehöriger
A0161,Gunpf,Chantal,Imre-Boucsein-Ring 79,59116,Kehl,Kallert Traudel,P0871,03559042597,thiesbeyer@example.org,Ehepartner,2025-01-20,Videocall,Ding sein bis sich fiel ob.,Angehöriger
A0162,Hövel,Gebhard,Mohammad-Täsche-Gasse 54,77053,Forchheim,Drub Francesco,P0908,08487 92069,hermighausengustav@example.org,Geschwister,2025-02-04,E-Mail,Fröhlich Kopf wissen beim richtig rufen weiß Hand.,Angehöriger
A0163,Bähr,Ekkehart,Seipstraße 25,68157,Erding,Schmidtke Anneli,P0736,+49(0) 878003845,vkreusel@example.org,Geschwister,2024-12-18,Videocall,Halbe gegen öffnen zu früher bei.,Angehöriger
A0164,Kraushaar,Joachim,Tilly-Röhricht-Ring 64,25621,Parchim,Hölzenbecher Karl-Friedrich,P0410,(09363) 92649,tom82@example.org,Kind,2025-04-13,Besuch,Mehr Stunde vielleicht gelb Schuh Luft dazu öffnen.,Angehöriger
A0165,Winkler,Zehra,Gerhild-Rosemann-Platz 84,18812,Dinslaken,Nette Harald,P0705,+49(0)5664742312,andreswiek@example.net,Ehepartner,2025-04-06,Telefon,Mädchen fehlen fehlen schlagen Hand schlagen Land leise.,Angehöriger
A0166,Möchlichen,Edda,Gorlitzallee 100,77223,Backnang,Bärer Veronica,P0436,0046333127,ustroh@example.com,Kind,2025-05-26,Besuch,Hängen auf selbst Herr genau nun.,Angehöriger
A0167,Rudolph,Josefa,Anne-Kathrin-Dörr-Straße 90,03886,Ravensburg,Winkler Henni,P0531,0803476447,sigismundhornig@example.net,Freund,2025-06-01,Telefon,Weil Kopf plötzlich bleiben leicht eigentlich Nase.,Angehöriger
A0168,Textor,Rosel,Reza-Lehmann-Ring 72,02793,Bremen,Weinhage Marleen,P0256,+49(0)5211 17518,yvogt@example.net,Ehepartner,2025-04-06,Videocall,Heraus Herr sonst weiß.,Angehöriger
A0169,Sorgatz,Carola,Gotthilf-Fiebig-Platz 18,64474,Cloppenburg,Gute Christl,P0821,+49 (0) 3094 077780,nhellwig@example.net,Freund,2025-04-14,E-Mail,Ich Bett neun finden merken ob mit.,Angehöriger
A0170,Hänel,Marieluise,Hans-Friedrich-Finke-Gasse 72,02099,Hohenstein-Ernstthal,Kuhl Etta,P0610,+49(0)0162 249998,waltraudmeyer@example.net,Enkel,2025-03-30,Videocall,Boden Geburtstag Haus.,Angehöriger
A0171,Börner,Rafael,Rognergasse 79,72145,Pasewalk,Krebs Diethard,P0835,+49(0) 390198179,slobodan95@example.com,Geschwister,2025-03-21,E-Mail,Haben das Musik Loch Oma Leben eigentlich nimmt.,Angehöriger
A0172,Hoffmann,Ines,Abraham-Drubin-Gasse 55,13966,Holzminden,Cichorius Krista,P0851,08303441448,krista01@example.net,Nachbar,2025-02-13,Videocall,Sehen nächste Angst durch gibt gleich.,Angehöriger
A0173,Naser,Gudula,Beierweg 21,72785,Lübben,Schulz Luise,P0762,+49(0)8495880395,celal24@example.org,Freund,2025-02-15,Videocall,Offen unten möglich Himmel nein vier.,Angehöriger
A0174,Jäntsch,Kata,Tröstgasse 34,61735,Hannoversch Münden,Putz Philip,P0770,+49(0) 842150317,nettesarina@example.net,Kind,2025-01-12,Brief,Werfen Seite Luft sprechen denken von.,Angehöriger
A0175,Plath,Marie,Harm-Ullrich-Gasse 99,68104,Torgau,Schleich Heimo,P0797,(01570) 184094,marijangute@example.org,Nachbar,2025-02-05,Videocall,Geschenk kam damit deshalb früh als oben.,Angehöriger
A0176,Dobes,Anita,Babette-Killer-Weg 81,42493,Bernburg,Adler Hans-H.,P0245,+49(0)9587 02070,krausbernward@example.org,Enkel,2025-03-03,Videocall,Schuh warum ohne schlecht.,Angehöriger
A0177,Schmiedt,Tilo,Jockelring 10,81792,Vechta,Stey Carmine,P0731,01747 733294,renato25@example.com,Enkel,2025-03-07,Besuch,Beim dabei lange.,Angehöriger
A0178,Geißler,Milena,Wilmsenring 35,81615,Hannoversch Münden,Freudenberger Irena,P0344,07696 39382,ekraus@example.com,Enkel,2025-01-22,E-Mail,Jeder zu Mädchen glücklich Schluss dumm Sache sich.,Angehöriger
A0179,Ruppersberger,Ingetraud,Drewesstr. 11,58172,Luckenwalde,Kuhl Berta,P0142,+49(0)9196 570132,werneckegabriel@example.net,Kind,2025-01-11,Besuch,Ganz nächste kaufen erschrecken vorbei Geburtstag Stelle.,Angehöriger
A0180,Jähn,Hannah,Truppring 50,90986,Haldensleben,Lehmann Stefanie,P0711,+49(0)5800851403,ltintzmann@example.com,Kind,2025-04-08,Besuch,Hängen jung es dumm dem Minutenmir.,Angehöriger
A0181,Klingelhöfer,Meta,Fliegnerring 9,20102,Staßfurt,Lindau Marit,P0425,0212679692,bpechel@example.net,Freund,2025-05-14,Brief,Halbe einige nichts Nacht Vater fertig.,Angehöriger
A0182,Heuser,Aline,Ritterstr. 70,00975,Rostock,Kobelt Hildegund,P0478,01284 781891,wigbertschuchhardt@example.net,Freund,2025-04-15,Telefon,Schiff Meer Nacht nun.,Angehöriger
A0183,Karz,Sandy,Walfried-Metz-Weg 27,95654,Eggenfelden,Nette Anna,P0853,+49(0)9494079290,manuela90@example.com,Freund,2025-03-13,Videocall,Lesen verkaufen Fuß davon.,Angehöriger
A0184,Höfig,Karl-Ludwig,Austermühleweg 99,92927,Eisenach,Dippel Maurice,P0599,+49(0)3728 05129,mayaoderwald@example.com,Geschwister,2025-05-04,Telefon,Richtig sehr draußen nach unser.,Angehöriger
A0185,Segebahn,Bert,Wendeallee 98,02767,Nauen,Ritter Monica,P0590,03667 42860,susana76@example.net,Freund,2025-02-10,Videocall,Schiff auch wenn packen wohnen jeder wenn.,Angehöriger
A0186,Heydrich,Nancy,Hillerring 1,49673,Parchim,Löffler Calogero,P0966,02580010618,stolzetilo@example.com,Enkel,2025-01-24,Brief,Flasche Arbeit ob bauen nein.,Angehöriger
A0187,Harloff,Rose-Marie,Ina-Dussen van-Gasse 97,69212,Haldensleben,Pärtzelt Abdul,P0400,01746 542140,vkraushaar@example.org,Freund,2025-01-31,E-Mail,Dürfen Beispiel zu er hinein.,Angehöriger
A0188,Noack,Frederike,Friedrich-Reuter-Straße 96,91741,Bersenbrück,Beer Jo,P0753,+49(0)9470 720064,hildegartjuettner@example.com,Nachbar,2025-03-30,E-Mail,Schule Spaß lange Hunger sehr tief Beispiel.,Angehöriger
A0189,Adler,Henner,Strohallee 29,19855,Lobenstein,Harloff Elly,P0500,+49(0)1585174328,krausgesa@example.org,Kind,2025-02-07,Brief,Wasser ohne Hand bis Oma selbst.,Angehöriger
A0190,Beier,Fredy,Andrei-Tschentscher-Weg 56,76184,Pfaffenhofen an der Ilm,Buchholz Michelle,P0498,00050 506138,istiebitz@example.org,Ehepartner,2025-04-29,Videocall,Werfen arbeiten den reich können.,Angehöriger
A0191,Schönland,Sinaida,Ingbert-Tintzmann-Allee 44,02041,Schongau,Fiebig Knut,P0685,+49 (0) 9111 799313,zkallert@example.net,Geschwister,2025-04-18,Videocall,Dann Schiff Mensch Gesicht Zahl essen.,Angehöriger
A0192,Scheel,Bartholomäus,Micha-Bolnbach-Gasse 93,26258,Mayen,Bachmann Gino,P0170,+49(0) 902196207,albersahmed@example.org,Freund,2025-06-02,Besuch,Warm im Tante Spiel Schluss erschrecken Papa Luft.,Angehöriger
A0193,Henck,Samir,Eleni-Süßebier-Gasse 80,79145,Altentreptow,Peukert Uwe,P0547,03318 19588,vitaliwinkler@example.net,Ehepartner,2025-04-14,Videocall,Bald dabei deshalb unten weiß.,Angehöriger
A0194,Gierschner,Aleksandra,Grete-Beyer-Gasse 76,43645,Bad Liebenwerda,Meister Roderich,P0578,+49(0)0822 078113,lscheel@example.com,Geschwister,2025-03-01,Telefon,Fast böse fangen fertig ihn er.,Angehöriger
A0195,Hartmann,Rosa-Maria,Werner-Sauer-Straße 11,62397,Kyritz,Mende Ernst,P0659,02735435209,holtfranz-xaver@example.org,Freund,2025-05-19,Besuch,Immer sollen fahren Garten Ding Stelle wohl.,Angehöriger
A0196,Geißler,Saskia,Dierk-Langern-Weg 60,39774,Wetzlar,Dörr Uli,P0187,0335693929,lindaubaldur@example.org,Ehepartner,2025-06-14,Brief,Arbeit Mama lange Straße traurig Kind fest.,Angehöriger
A0197,Weller,Britt,Henni-Wagenknecht-Straße 49,25431,Neubrandenburg,Kobelt Veit,P0336,(04279) 90772,ygorlitz@example.com,Kind,2025-04-08,Videocall,Viel Beispiel was.,Angehöriger
A0198,Radisch,Meik,Konrad-Loos-Ring 42,19508,Badoberan,Trupp Helen,P0346,+49(0)6579 055281,frederikkaester@example.org,Freund,2025-03-23,Brief,Setzen sitzen vom schreien sitzen sollen Geschichte.,Angehöriger
A0199,Hethur,Rosmarie,Hofmanngasse 97,55778,München,Gierschner Filippo,P0975,08479 51371,kreinrosmarie@example.org,Freund,2025-02-05,Brief,Böse früher schnell Lehrer.,Angehöriger
A0200,Haase,Paula,Klaus-Michael-Lindau-Allee 11,75670,Erfurt,Hövel Bela,P0482,+49(0)0385 695579,tmielcarek@example.net,Ehepartner,2025-01-08,E-Mail,Dumm Frau lassen Zeit Spaß.,Angehöriger
A0201,Finke,Bekir,Hölzenbecherstraße 7,92842,Waldmünchen,Gierschner Filippo,P0975,(02231) 05927,paulo23@example.net,Enkel,2025-04-23,Besuch,Zimmer deshalb kein ziehen man dann.,Angehöriger
A0202,Lachmann,Andrei,Wilmsenplatz 84,52088,Stade,Reising Hilma,P0071,+49(0)7492 97517,etzoldhalina@example.net,Geschwister,2025-01-05,Telefon,Hund unser kaufen.,Angehöriger
A0203,Junken,Dittmar,Editha-Segebahn-Platz 97,43018,Säckingen,Sorgatz Sibilla,P0032,(01863) 75998,stahroswin@example.com,Kind,2025-01-11,Besuch,Heiß helfen fünf Haare Zimmer vor.,Angehöriger
A0204,Hande,Diethard,Weihmannstraße 3,42662,Dinkelsbühl,Hesse Kunibert,P0637,+49(0) 478519610,rschwital@example.com,Kind,2025-01-16,Besuch,Schwer so dein einige Herz Minute auf.,Angehöriger
A0205,Jacobi Jäckel,Marija,Nohlmansstr. 17,30024,Soltau,Neureuther Heinz-Gerd,P0485,(07146) 27301,aenne19@example.net,Geschwister,2025-02-19,Telefon,Mutter voll oft Land Schluss danach Licht.,Angehöriger
A0206,Bachmann,Christina,Fröhlichstr. 73,25725,Bamberg,Anders Gitta,P0971,+49(0)5650 44818,kriemhildschottin@example.org,Kind,2025-05-03,Videocall,Sitzen mein von tun schlafen gefährlich schlafen schlagen.,Angehöriger
A0207,Reinhardt,Drago,Fechnergasse 90,84576,Eberswalde,Reichmann Hedy,P0263,+49(0)3283 389888,lindauveli@example.org,Enkel,2025-01-05,Besuch,Werfen langsam Geld hart.,Angehöriger
A0208,Margraf,Margot,Gerlachweg 78,01322,Hechingen,Bonbach Ullrich,P0622,+49 (0) 3216 110760,ekkehartbeckmann@example.net,Geschwister,2025-03-18,Telefon,Kurz weit auf gefährlich.,Angehöriger
A0209,Wende,Albrecht,Lieschen-Ebert-Weg 100,93250,Dinslaken,Heinz Alessandro,P0839,+49(0)9552 89389,dippelmaria-theresia@example.net,Kind,2025-05-03,Brief,Etwas Eis fährt Weihnachten Maus Zeitung Brief.,Angehöriger
A0210,Pärtzelt,Heinz,Kobeltweg 14,71256,Fulda,Bohlander Bernhard,P0593,03615 17182,xwiek@example.net,Ehepartner,2025-02-05,Brief,Bild legen hier.,Angehöriger
A0211,Schinke,Urs,Striebitzallee 74,38646,Berlin,Biggen Cornelia,P0694,05207 167811,ricokuehnert@example.net,Freund,2025-04-02,Videocall,Sicher was drehen Hase.,Angehöriger
A0212,Kambs,Hans-Uwe,Diane-Kusch-Gasse 92,67499,Wurzen,Tlustek Petra,P0204,(06579) 67842,hdoerr@example.com,Ehepartner,2025-03-14,E-Mail,Oft dazu Brief bald Bein.,Angehöriger
A0213,Bauer,Halina,Ralph-Schleich-Allee 89,24991,Stendal,Cichorius Krista,P0851,07734 77848,mara88@example.org,Geschwister,2025-06-07,Besuch,Zwei wahr danach.,Angehöriger
A0214,Jopich,Tomasz,Margrafstraße 14,02842,Malchin,Hertrampf Hertha,P0714,+49 (0) 4671 978897,kroerricht@example.net,Enkel,2024-12-25,E-Mail,Legen Zeit nächste Haare Zimmer.,Angehöriger
A0215,Bolander,Marian,Daniela-Bien-Platz 16,59056,Mainburg,Jopich Jörg-Peter,P0816,05650333491,jaekelerdal@example.com,Nachbar,2025-01-15,Telefon,Gesund kochen vielleicht mögen Weihnachten freuen Schnee.,Angehöriger
A0216,Barkholz,Dagmar,Kostolzinstr. 45,59171,Husum,Binner Jose,P0546,08529 456371,kenanhettner@example.org,Freund,2025-02-07,Brief,Hund Familie sie Blume unter brauchen glauben.,Angehöriger
A0217,Rosenow,Cemil,Loosplatz 9,14846,Finsterwalde,Schacht Janett,P0519,0649878208,cilliortmann@example.org,Geschwister,2025-04-14,Brief,Freuen packen Teller verlieren weinen Wiese sehr.,Angehöriger
A0218,Preiß,Bruno,Ottokar-Misicher-Platz 2,24665,Siegen,Anders Maria,P0870,+49(0) 644249363,fischerhans-jochen@example.org,Freund,2025-01-28,Videocall,Kopf Monat Junge plötzlich arbeiten.,Angehöriger
A0219,Heydrich,Gisbert,Angelo-Heser-Ring 14,07001,Scheinfeld,Rohleder Attila,P0444,+49(0)1651 62319,preissgiovanna@example.net,Enkel,2025-06-06,Videocall,Flasche war fertig dann Tag gewinnen Nase.,Angehöriger
A0220,Weiß,Reinhardt,Sylvie-Löchel-Platz 91,12347,Greiz,Rosenow Vitus,P0157,(00785) 158673,radmila25@example.com,Freund,2025-04-24,Besuch,Am zehn nie unser rot.,Angehöriger
A0221,Bloch,Theda,Janus-Rohleder-Straße 94,51837,Amberg,Schäfer Heiner,P0535,0441343275,czobel@example.com,Geschwister,2025-05-22,Brief,Können ihn unser schön vorbei tragen treffen.,Angehöriger
A0222,Heß,Hildburg,Nikolai-Linke-Weg 79,70027,Ahaus,Fritsch Janett,P0828,0345911238,milkascheibe@example.net,Nachbar,2025-02-28,Videocall,Kennen von davon dumm nehmen gewinnen.,Angehöriger
A0223,Gumprich,Karl-Peter,Sebastiano-Koch-Platz 60,69300,Brandenburg,Bolander Herta,P0447,03420 696942,kochgustav@example.net,Geschwister,2025-01-05,E-Mail,Jung wer Klasse schaffen danach Schwester einmal.,Angehöriger
A0224,Zänker,Nelli,Hövelweg 35,62639,Günzburg,Drub Sophia,P0331,(03626) 20443,xhering@example.net,Kind,2025-04-19,Telefon,Bis kurz vom ziehen hoch es heute.,Angehöriger
A0225,Wähner,Sigmar,Briemergasse 36,05375,Altentreptow,Weinhage Ricarda,P0903,+49(0)8964 65280,johanngeisler@example.net,Freund,2025-03-15,Besuch,Wagen dauern gern mal den damit.,Angehöriger
A0226,Eckbauer,Baldur,Holtweg 97,64494,Marktheidenfeld,Bohlander Hans-Josef,P0476,+49 (0) 5728 703203,arminmoechlichen@example.com,Nachbar,2025-01-13,E-Mail,Junge öffnen wichtig auch halbe schwarz lassen.,Angehöriger
A0227,Dowerg,Aenne,Falk-Keudel-Gasse 86,42284,Roth,Mülichen Sabine,P0389,+49(0)8926137150,hannelore16@example.com,Enkel,2025-04-02,Telefon,Und dick Bild Tür.,Angehöriger
A0228,Naser,Gertraut,Schottinring 64,50975,Freudenstadt,Plath Kai-Uwe,P0872,+49(0)4501896164,ilhanwinkler@example.com,Enkel,2024-12-31,Besuch,Dorf spät fünf sitzen reich.,Angehöriger
A0229,Huhn,Ernst-Otto,Löwerweg 63,92515,Neustadtner Waldnaab,Stiffel Jan,P0218,06749 961659,sylvesterschuchhardt@example.com,Enkel,2025-01-01,Brief,Glücklich Kopf fallen schlafen die Lehrer ohne.,Angehöriger
A0230,Carsten,Anneke,Mosemannstraße 44,74224,Parsberg,Liebelt Marita,P0287,0490810818,glehmann@example.com,Nachbar,2025-04-14,Brief,Tier halbe Nase sonst also sicher kommen.,Angehöriger
A0231,Gnatz,Lilli,Biengasse 72,45977,Hünfeld,Bender Pamela,P0011,+49 (0) 3219 416800,adrub@example.org,Nachbar,2025-04-14,Besuch,Schlimm voll Zahl nicht laufen nämlich Zeitung.,Angehöriger
A0232,Stumpf,Oswald,Jacobi Jäckelgasse 11,20310,Auerbach,Wagner Heiko,P0248,+49(0) 723683147,willfriedloechel@example.org,Geschwister,2025-01-05,Videocall,Sich Katze lassen alt.,Angehöriger
A0233,Sauer,Tomas,Hans-Wolfgang-Hornig-Weg 63,05016,Norden,Krein Annegret,P0569,(09840) 767899,theinrich@example.org,Kind,2025-03-21,Videocall,Nach Minute freuen Polizei warten damit.,Angehöriger
A0234,Seidel,Elzbieta,Meisterweg 83,02437,Mayen,Wulf Francis,P0729,+49(0) 839597246,psteinberg@example.net,Freund,2025-02-18,Videocall,Stunde unter oben führen sind rund das.,Angehöriger
A0235,Franke,Hans-Walter,Ditschlerinallee 3,74338,Arnstadt,Eimer Henryk,P0096,04522801561,erolroerricht@example.org,Enkel,2025-03-14,Besuch,Stadt Spaß Spaß mit Wasser verlieren.,Angehöriger
A0236,Pieper,Patricia,Ilonka-Binner-Straße 52,11991,Ochsenfurt,Pruschke Piotr,P0709,+49(0)2135 247871,friedaknappe@example.com,Kind,2025-05-13,Brief,Vergessen kalt ihr sonst.,Angehöriger
A0237,Mühle,Isidor,Hörlestr. 85,14565,Duderstadt,Gotthard Waldtraut,P0596,06326 66785,margraffritz@example.org,Enkel,2025-04-25,Videocall,Wirklich bin gerade Zug dort bei Sohn.,Angehöriger
A0238,Segebahn,Gertrude,Samira-Ruppert-Gasse 71,66845,Amberg,Anders Horst,P0544,+49(0)8926 73899,wthanel@example.net,Enkel,2025-02-27,Videocall,Wahr bin Maus Himmel Schüler.,Angehöriger
A0239,Eberth,Radmila,Hamanngasse 96,85200,Gießen,Johann Ingrid,P0564,+49(0)6810 54851,werneckegabriele@example.org,Enkel,2025-03-07,Brief,Setzen Kind zum Tag zusammen Mutter waschen.,Angehöriger
A0240,Stadelmann,Erna,Niklas-Jacob-Ring 90,68315,Kamenz,Eimer Eveline,P0465,01266 110627,tilobuchholz@example.com,Enkel,2025-04-17,Brief,Natürlich Loch hinter fressen Lehrerin ins.,Angehöriger
A0241,Stroh,Theodoros,Wagenknechtstraße 33,28277,Vilsbiburg,Winkler Wiltrud,P0237,08137 70285,schleichmonica@example.com,Ehepartner,2025-01-04,Besuch,Möglich auch dick heißen zwei gegen.,Angehöriger
A0242,Baum,Zeljko,Friedhelm-Ziegert-Weg 41,04432,Ahaus,Nette Brit,P0123,+49(0)8510 679497,liesa67@example.net,Geschwister,2025-05-16,E-Mail,Sommer lernen kochen kennen.,Angehöriger
A0243,Fischer,Tom,Cichoriusallee 98,63658,Stuttgart,Seifert Bruni,P0707,04120 948181,valerischoenland@example.net,Kind,2025-03-30,Besuch,Wohnung los singen.,Angehöriger
